Series of Member Payment Dependent Notes,Maximum aggregate principal amount of Notes offered,Aggregate principal amount of Notes sold,Stated interest rate,Service Charge,Sale and Original Issue Date,Initial maturity,Final maturity,Amount of corresponding loan funded by Lending Club,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months
449296,"$4,400","$4,400",11.83%,1.00%,"October 9, 2009","October 20, 2012","October 20, 2013",$0,RENT,"$4,000 / month",3.52%,n/a,"bakersfield, CA",__,__,__,N/a,__,714-749,0,04/1998,$0.00,3,0,9,n/a,"$3,850.00",0,58.30%,n/a,2
449337,"$7,500","$7,500",12.18%,1.00%,"October 9, 2009","October 20, 2012","October 20, 2013",$0,MORTGAGE,"$65,000 / month",0.60%,9 years ,"San Jose, CA",__,__,__,N/a,__,679-713,0,07/1994,$0.00,5,0,10,n/a,"$6,332.00",1,21.50%,94,0
449363,"$7,000","$7,000",8.94%,1.00%,"October 13, 2009","October 20, 2012","October 20, 2013",$0,RENT,"$3,000 / month",2.60%,1 year ,"San Francisco, CA",__,__,__,N/a,__,750-779,0,10/2000,$0.00,5,0,12,31,$0.00,0,0.00%,n/a,0
449365,"$5,000","$5,000",11.48%,1.00%,"October 9, 2009","October 20, 2012","October 20, 2013",$0,RENT,"$4,943 / month",16.49%, 1 year 60 months,"MARKLEEVILLE, CA",__,__,__,N/a,__,714-749,0,02/1997,$0.00,5,0,29,24,$0.00,0,36.94%,n/a,0
449378,"$2,800","$2,800",15.31%,1.00%,"October 13, 2009","October 21, 2012","October 21, 2013",$0,RENT,"$4,667 / month",23.49%, 1 year 48 months,"SCOTTSDALE, AZ",__,__,__,N/a,__,679-713,0,01/1998,$0.00,11,0,16,n/a,"$21,076.00",0,98.50%,n/a,2
449546,"$5,000","$5,000",11.14%,1.00%,"October 13, 2009","October 21, 2012","October 21, 2013",$0,RENT,"$4,167 / month",13.51%, 1 year 60 months,"NEW YORK, NY",__,__,__,N/a,__,714-749,0,09/1984,$0.00,4,1,15,18,"$11,919.00",0,76.90%,n/a,1
449554,"$2,400","$2,400",12.18%,1.00%,"October 13, 2009","October 21, 2012","October 21, 2013",$0,RENT,"$3,750 / month",20.67%, 1 year 36 months,"COLUMBUS, OH",__,__,__,N/a,__,679-713,0,09/2002,$0.00,9,1,22,16,$563.00,0,4.50%,n/a,1
449587,"$5,125","$5,125",8.59%,1.00%,"October 13, 2009","October 21, 2012","October 21, 2013",$0,RENT,"$6,500 / month",24.12%,1 year ,"Alden, NY",__,__,__,N/a,__,714-749,0,02/1986,$0.00,13,0,36,n/a,"$13,930.00",0,50.10%,n/a,0
449672,"$6,000","$6,000",8.94%,1.00%,"October 9, 2009","October 21, 2012","October 21, 2013",$0,MORTGAGE,"$6,667 / month",2.96%,n/a,"Dallas, TX",__,__,__,N/a,__,714-749,0,08/1996,$0.00,6,0,12,n/a,"$4,893.00",1,34.70%,86,0
449677,"$4,200","$4,200",11.48%,1.00%,"October 9, 2009","October 21, 2012","October 21, 2013",$0,RENT,"$5,917 / month",6.83%,1 year ,"Pikesville, MD",__,__,__,N/a,__,714-749,0,05/1999,$0.00,5,0,16,n/a,"$11,974.00",0,72.10%,n/a,1
449705,"$3,000","$3,000",11.83%,1.00%,"October 9, 2009","October 21, 2012","October 21, 2013",$0,RENT,"$4,700 / month",15.94%,9 years ,"Plattsburgh, NY",__,__,__,N/a,__,679-713,0,03/1995,$0.00,6,0,28,81,"$3,066.00",1,57.80%,99,1
449719,"$15,000","$15,000",8.94%,1.00%,"October 9, 2009","October 21, 2012","October 21, 2013",$0,RENT,"$10,910 / month",1.98%,n/a,"Shingle Springs, CA",__,__,__,N/a,__,780+,0,01/1979,$0.00,7,0,19,n/a,"$8,467.00",0,21.60%,n/a,0
449732,"$5,000","$5,000",11.14%,1.00%,"October 9, 2009","October 21, 2012","October 21, 2013",$0,MORTGAGE,"$2,917 / month",7.71%, 10+ years 132 months,"THOMASTON, CT",__,__,__,N/a,__,714-749,0,12/1994,$0.00,10,0,15,33,"$6,896.00",0,41.80%,n/a,0
449768,"$3,000","$3,000",11.83%,1.00%,"October 13, 2009","October 21, 2012","October 21, 2013",$0,OWN,"$2,800 / month",15.61%,9 years ,"San Angelo, TX",__,__,__,N/a,__,679-713,0,04/1983,$0.00,7,0,22,35,"$1,125.00",0,23.40%,n/a,2
449803,"$5,000","$5,000",7.40%,1.00%,"October 13, 2009","October 21, 2012","October 21, 2013",$0,OWN,"$1,250 / month",16.16%,1 year ,"Scranton, PA",__,__,__,N/a,__,780+,0,09/1998,$0.00,6,0,11,n/a,$811.00,0,7.70%,n/a,0
449880,"$5,000","$5,000",8.59%,1.00%,"October 13, 2009","October 22, 2012","October 22, 2013",$0,RENT,"$2,667 / month",14.74%,1 year ,"houston, TX",__,__,__,N/a,__,714-749,0,06/2000,$0.00,12,1,25,10,"$3,192.00",0,23.00%,n/a,2
449913,"$2,000","$2,000",11.83%,1.00%,"October 13, 2009","October 22, 2012","October 22, 2013",$0,RENT,"$3,167 / month",4.80%, 1 year 8 months,"MIAMI BEACH, FL",__,__,__,N/a,__,679-713,0,09/1997,$0.00,5,0,21,58,$768.00,0,5.60%,n/a,0
449936,"$5,000","$5,000",8.59%,1.00%,"October 13, 2009","October 22, 2012","October 22, 2013",$0,RENT,"$1,667 / month",10.92%, 1 year 12 months,"SHERIDAN, IL",__,__,__,N/a,__,714-749,0,12/1997,$0.00,9,0,23,82,"$5,276.00",0,50.20%,n/a,0
