Series of Member Payment Dependent Notes,Maximum aggregate principal amount of Notes offered,Aggregate principal amount of Notes sold,Stated interest rate,Service Charge,Sale and Original Issue Date,Initial maturity,Final maturity,Amount of corresponding loan funded by Lending Club,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months
38700366,"$10,000","$10,000",7.49%,1.00%,"January 21, 2015","January 30, 2018","January 30, 2020",$0,MORTGAGE,"$5,000 / month",14.04%,3 years ,806xx,N/a,N/a,N/a,"Staff Tax Accountant, CPA",N/a,685-689,0,08/2006,$0.00,23,0,48,n/a,"$10,030.00",0,82.90%,n/a,0
38700405,"$16,000","$16,000",14.99%,1.00%,"January 23, 2015","January 21, 2020","January 21, 2020",$0,RENT,"$4,167 / month",39.58%,n/a,234xx,N/a,N/a,N/a,n/a,N/a,735-739,0,03/2005,$0.00,15,0,28,n/a,"$12,194.00",0,76.70%,n/a,0
38710454,"$24,000","$24,000",9.49%,1.00%,"January 22, 2015","February 2, 2018","February 2, 2020",$0,RENT,"$8,167 / month",16.25%,3 years ,088xx,N/a,N/a,N/a,Technical Lead,N/a,700-704,0,09/2006,$0.00,5,0,6,30,"$14,668.00",0,84.30%,n/a,0
38722150,"$10,000","$10,000",12.99%,1.00%,"January 23, 2015","February 5, 2018","February 5, 2020",$0,RENT,"$2,417 / month",30.79%,4 years ,605xx,N/a,N/a,N/a,server/bartender/event worker,N/a,670-674,0,10/2007,$0.00,12,0,16,n/a,"$9,677.00",0,84.10%,n/a,1
38722156,"$28,775","$28,775",25.57%,1.00%,"January 23, 2015","February 2, 2020","February 2, 2020",$0,OWN,"$5,833 / month",37.57%,6 years ,330xx,N/a,N/a,N/a,full time deale,N/a,710-714,0,10/2005,$0.00,9,4,16,11,"$6,219.00",0,49.80%,n/a,1
38722210,"$5,000","$5,000",12.39%,1.00%,"January 22, 2015","January 21, 2018","January 21, 2020",$0,MORTGAGE,"$5,417 / month",23.89%,10+ years ,967xx,N/a,N/a,N/a,Assistant Branch Manager,N/a,675-679,0,11/1987,$0.00,14,1,34,23,"$38,096.00",0,62.50%,n/a,0
38722409,"$9,000","$9,000",11.99%,1.00%,"January 26, 2015","January 25, 2018","January 25, 2020",$0,RENT,"$2,838 / month",29.01%,5 years ,891xx,N/a,N/a,N/a,Family Services Specialist,N/a,690-694,0,05/2003,$0.00,8,0,11,n/a,"$16,454.00",0,71.50%,n/a,0
38722448,"$22,000","$22,000",11.99%,1.00%,"January 26, 2015","February 5, 2020","February 5, 2020",$0,MORTGAGE,"$4,583 / month",20.71%,10+ years ,805xx,N/a,N/a,N/a,Sr GIS Specialist,N/a,665-669,0,07/2001,$0.00,7,0,21,47,"$22,667.00",0,86.20%,n/a,0
38732516,"$5,500","$5,500",9.49%,1.00%,"January 23, 2015","January 22, 2018","January 22, 2020",$0,MORTGAGE,"$3,352 / month",26.49%,n/a,894xx,N/a,N/a,N/a,n/a,N/a,680-684,0,05/1991,$0.00,12,0,29,48,"$9,450.00",0,54.60%,n/a,0
38752139,"$15,000","$15,000",12.39%,1.00%,"January 22, 2015","January 25, 2018","January 25, 2020",$0,MORTGAGE,"$4,333 / month",22.80%,1 year ,729xx,N/a,N/a,N/a,RN Supervisor,N/a,695-699,0,07/2004,$0.00,15,2,25,19,"$12,902.00",0,37.10%,n/a,1
