Date,Series of Member Payment Dependent Notes,Maximum aggregate principal amount offered,Stated interest rate,Service Charge,Initial maturity,Final maturity,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months,Months Since Last Major Derogatory
"February 6, 2015",40355840,"$9,600",9.17%,1.00%,Three years after issuance,Five years after issuance,RENT,"$2,400 / month",33.96%,1 year ,973xx,N/a,N/a,N/a,Pastor,N/a,685-689,0,05/2003,$0.00,24,1,47,18,"$11,700.00",0,74.50%,n/a,0,n/a
"February 6, 2015",40355876,"$20,000",5.93%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$8,500 / month",27.72%,9 years ,891xx,N/a,N/a,N/a,Business Systems Analyst IV,N/a,720-724,0,02/1979,$0.00,14,0,27,n/a,"$53,678.00",0,62.80%,n/a,0,n/a
"February 6, 2015",40356012,"$17,000",6.03%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$20,833 / month",12.17%,5 years ,193xx,N/a,N/a,N/a,Owner,N/a,690-694,0,06/1997,$546.00,22,1,46,3,"$48,123.00",0,31.60%,n/a,1,n/a
"February 6, 2015",40356224,"$15,000",9.99%,1.00%,Three years after issuance,Five years after issuance,RENT,"$7,300 / month",18.59%,10+ years ,949xx,N/a,N/a,N/a,Logistics,N/a,680-684,0,05/2002,$0.00,15,1,37,22,"$7,283.00",0,36.80%,n/a,3,22
"February 6, 2015",40356264,"$10,000",6.39%,1.00%,Three years after issuance,Five years after issuance,RENT,"$3,800 / month",6.45%,n/a,117xx,N/a,N/a,N/a,n/a,N/a,750-754,0,08/1969,$0.00,8,0,22,52,"$11,684.00",0,24.90%,n/a,0,52
"February 6, 2015",40356272,"$30,000",6.68%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$8,333 / month",25.27%,< 1 year ,917xx,N/a,N/a,N/a,Attorney,N/a,790-794,0,01/1999,$0.00,15,0,49,n/a,"$11,731.00",0,19.80%,n/a,0,n/a
"February 6, 2015",40356300,"$20,000",7.89%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$7,083 / month",11.32%,n/a,310xx,N/a,N/a,N/a,n/a,N/a,725-729,0,07/1984,$0.00,8,1,28,15,"$5,808.00",0,22.00%,n/a,0,n/a
"February 6, 2015",40360250,"$28,000",6.39%,1.00%,Three years after issuance,Five years after issuance,RENT,"$9,583 / month",10.10%,< 1 year ,483xx,N/a,N/a,N/a,Program Manager,N/a,695-699,0,03/1990,$0.00,15,0,28,n/a,"$68,837.00",0,47.90%,n/a,0,n/a
"February 6, 2015",40360980,"$12,500",9.99%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$8,500 / month",24.51%,2 years ,465xx,N/a,N/a,N/a,Medical Science Liaison,N/a,680-684,0,12/1983,$0.00,26,0,33,n/a,"$17,328.00",0,41.30%,n/a,1,n/a
"February 6, 2015",40361252,"$18,600",8.67%,1.00%,Five years after issuance,Five years after issuance,OWN,"$5,000 / month",12.71%,6 years ,231xx,N/a,N/a,N/a,Risk Management,N/a,690-694,0,10/1990,$0.00,8,0,14,30,"$16,016.00",0,46.40%,n/a,0,51
