Series of Member Payment Dependent Notes,Maximum aggregate principal amount of Notes offered,Aggregate principal amount of Notes sold,Stated interest rate,Service Charge,Sale and Original Issue Date,Initial maturity,Final maturity,Amount of corresponding loan funded by Lending Club,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months
40097429,"$24,125","$24,125",24.50%,1.00%,"January 28, 2015","February 9, 2020","February 9, 2020",$0,MORTGAGE,"$5,293 / month",7.01%,10+ years ,806xx,N/a,N/a,N/a,Firefighter,N/a,665-669,0,04/1997,$0.00,10,2,27,18,"$6,243.00",1,32.30%,49,1
40097460,"$16,025","$16,025",15.99%,1.00%,"February 3, 2015","February 8, 2018","February 8, 2020",$0,OWN,"$2,917 / month",32.41%,4 years ,313xx,N/a,N/a,N/a,Accounts Receivable,N/a,705-709,0,10/1990,$0.00,9,0,16,n/a,"$36,664.00",0,73.90%,n/a,0
40097466,"$19,225","$19,225",14.99%,1.00%,"January 28, 2015","February 7, 2018","February 7, 2020",$0,MORTGAGE,"$6,667 / month",5.43%,< 1 year ,393xx,N/a,N/a,N/a,oil drilling consultant,N/a,670-674,0,01/1998,$0.00,7,2,24,2,"$5,413.00",0,59.50%,n/a,1
40097478,"$6,950","$6,950",13.66%,1.00%,"January 30, 2015","February 11, 2018","February 11, 2020",$0,RENT,"$7,375 / month",16.65%,4 years ,082xx,N/a,N/a,N/a,Vice Principal,N/a,670-674,0,11/1995,$0.00,16,0,51,n/a,"$6,609.00",2,52.90%,40,0
40097489,"$12,000","$12,000",6.03%,1.00%,"January 30, 2015","February 9, 2018","February 9, 2020",$0,RENT,"$8,136 / month",26.04%,7 years ,141xx,N/a,N/a,N/a,ASSOCIATE IN BILINGUAL ED,N/a,700-704,0,07/1991,$0.00,15,0,39,n/a,"$48,907.00",0,71.00%,n/a,0
40097587,"$7,750","$7,750",19.24%,1.00%,"January 27, 2015","February 7, 2018","February 7, 2020",$0,MORTGAGE,"$4,167 / month",1.63%,6 years ,280xx,N/a,N/a,N/a,procurement tehnician,N/a,670-674,1,02/1998,$0.00,2,1,7,2,"$1,724.00",0,19.60%,n/a,0
40097589,"$17,875","$17,875",20.99%,1.00%,"January 28, 2015","February 7, 2020","February 7, 2020",$0,RENT,"$4,157 / month",33.97%,7 years ,840xx,N/a,N/a,N/a,Police,N/a,660-664,0,11/2003,$0.00,14,2,40,10,"$23,469.00",0,89.60%,n/a,1
40097631,"$9,000","$9,000",12.99%,1.00%,"January 29, 2015","February 8, 2018","February 8, 2020",$0,RENT,"$3,417 / month",25.70%,9 years ,302xx,N/a,N/a,N/a,Teacher,N/a,695-699,0,09/1999,$0.00,10,3,23,4,"$4,549.00",0,28.40%,n/a,0
40097652,"$14,400","$14,400",15.99%,1.00%,"January 28, 2015","February 8, 2020","February 8, 2020",$0,MORTGAGE,"$3,667 / month",39.99%,10+ years ,352xx,N/a,N/a,N/a,Bus Paralender,N/a,705-709,0,02/1994,$0.00,15,0,35,49,"$18,266.00",0,60.70%,n/a,1
40097757,"$10,800","$10,800",6.03%,1.00%,"January 29, 2015","February 8, 2018","February 8, 2020",$0,MORTGAGE,"$6,667 / month",9.63%,10+ years ,017xx,N/a,N/a,N/a,teacher,N/a,780-784,0,10/2002,$0.00,9,0,15,n/a,"$9,338.00",0,26.00%,n/a,0
40097769,"$20,000","$20,000",9.49%,1.00%,"January 30, 2015","February 8, 2020","February 8, 2020",$0,RENT,"$5,250 / month",11.40%,3 years ,070xx,N/a,N/a,N/a,Teacher,N/a,740-744,0,08/2000,$0.00,20,0,32,35,"$9,694.00",0,13.50%,n/a,0
40097823,"$18,000","$18,000",20.99%,1.00%,"January 29, 2015","February 8, 2020","February 8, 2020",$0,RENT,"$3,000 / month",34.53%,10+ years ,325xx,N/a,N/a,N/a,Logistics,N/a,695-699,0,06/1984,$0.00,11,0,26,n/a,"$29,643.00",0,83.30%,n/a,0
40097932,"$15,000","$15,000",11.99%,1.00%,"February 3, 2015","February 8, 2018","February 8, 2020",$0,MORTGAGE,"$6,667 / month",31.77%,10+ years ,492xx,N/a,N/a,N/a,RN,N/a,670-674,0,01/1997,$0.00,17,2,49,3,"$24,884.00",0,50.70%,n/a,0
40097936,"$30,000","$30,000",8.67%,1.00%,"January 29, 2015","February 8, 2018","February 8, 2020",$0,RENT,"$14,167 / month",7.71%,< 1 year ,941xx,N/a,N/a,N/a,CEO of USA,N/a,710-714,0,09/2003,$0.00,9,0,17,n/a,"$14,344.00",0,69.00%,n/a,0
40098014,"$35,000","$35,000",17.14%,1.00%,"February 2, 2015","February 12, 2020","February 12, 2020",$0,MORTGAGE,"$7,850 / month",29.14%,10+ years ,206xx,N/a,N/a,N/a,Correspondence Specialist/Writer,N/a,690-694,0,03/1993,$0.00,25,0,37,n/a,"$64,078.00",0,86.80%,n/a,2
40098071,"$2,000","$2,000",14.31%,1.00%,"January 29, 2015","February 9, 2018","February 9, 2020",$0,OWN,"$2,313 / month",11.37%,n/a,561xx,N/a,N/a,N/a,n/a,N/a,700-704,0,01/1994,$0.00,10,0,12,n/a,"$3,480.00",1,16.50%,70,0
40098098,"$8,000","$8,000",14.99%,1.00%,"January 29, 2015","February 9, 2018","February 9, 2020",$0,RENT,"$2,667 / month",9.08%,10+ years ,330xx,N/a,N/a,N/a,Certified Behavioral Health Technician,N/a,675-679,0,07/2002,$0.00,9,1,14,9,"$4,076.00",0,30.20%,n/a,0
40098154,"$7,250","$7,250",15.99%,1.00%,"January 28, 2015","February 9, 2018","February 9, 2020",$0,MORTGAGE,"$2,842 / month",26.25%,n/a,432xx,N/a,N/a,N/a,n/a,N/a,670-674,0,09/1988,$0.00,12,1,23,11,"$13,054.00",1,82.60%,14,4
40098162,"$6,000","$6,000",11.44%,1.00%,"January 29, 2015","February 9, 2018","February 9, 2020",$0,MORTGAGE,"$4,359 / month",26.37%,1 year ,276xx,N/a,N/a,N/a,zoning compliance officer,N/a,685-689,0,11/1999,$0.00,15,0,30,n/a,"$42,246.00",0,90.10%,n/a,0
40098182,"$15,000","$15,000",8.67%,1.00%,"February 2, 2015","February 9, 2018","February 9, 2020",$0,MORTGAGE,"$8,333 / month",23.53%,10+ years ,484xx,N/a,N/a,N/a,Regional Hospice Consultant,N/a,705-709,0,10/1994,$0.00,17,0,48,n/a,"$44,561.00",0,83.80%,n/a,1
40098187,"$10,000","$10,000",6.03%,1.00%,"February 2, 2015","February 9, 2018","February 9, 2020",$0,MORTGAGE,"$10,417 / month",17.78%,9 years ,466xx,N/a,N/a,N/a,Insurance Broker,N/a,710-714,0,05/1997,$0.00,17,1,29,12,"$10,236.00",4,47.20%,41,0
40098249,"$14,000","$14,000",12.99%,1.00%,"January 28, 2015","February 9, 2018","February 9, 2020",$0,RENT,"$8,333 / month",24.53%,6 years ,592xx,N/a,N/a,N/a,CBPO,N/a,700-704,0,04/1998,$0.00,9,0,24,n/a,"$46,578.00",0,73.20%,n/a,0
40098313,"$21,000","$21,000",16.49%,1.00%,"February 2, 2015","February 9, 2020","February 9, 2020",$0,MORTGAGE,"$7,917 / month",34.51%,10+ years ,450xx,N/a,N/a,N/a,Sr. nurse manager,N/a,720-724,1,06/1985,$0.00,19,1,42,0,"$38,264.00",0,92.40%,n/a,0
40107127,"$20,000","$20,000",15.59%,1.00%,"January 28, 2015","February 6, 2018","February 6, 2020",$0,RENT,"$5,000 / month",31.53%,3 years ,180xx,N/a,N/a,N/a,LPN,N/a,675-679,0,11/2006,$0.00,9,1,16,6,"$7,353.00",0,56.60%,n/a,0
40107201,"$8,400","$8,400",12.99%,1.00%,"January 30, 2015","February 8, 2018","February 8, 2020",$0,MORTGAGE,"$4,583 / month",17.67%,10+ years ,436xx,N/a,N/a,N/a,Press operator,N/a,680-684,1,11/1994,$0.00,8,1,27,0,"$14,717.00",0,62.90%,n/a,0
40107343,"$29,325","$29,325",21.99%,1.00%,"February 3, 2015","February 9, 2018","February 9, 2020",$0,MORTGAGE,"$14,000 / month",3.94%,3 years ,925xx,N/a,N/a,N/a,OWNER OPERATOR,N/a,660-664,0,10/1991,$0.00,11,0,21,n/a,"$17,705.00",1,55.30%,62,1
40107383,"$14,500","$14,500",6.49%,1.00%,"January 28, 2015","February 7, 2018","February 7, 2020",$0,MORTGAGE,"$6,667 / month",21.86%,8 years ,481xx,N/a,N/a,N/a,Financial Systems Analyst,N/a,680-684,0,12/2001,$0.00,21,1,47,20,"$48,795.00",0,60.80%,n/a,0
40107434,"$7,000","$7,000",13.66%,1.00%,"February 3, 2015","February 7, 2018","February 7, 2020",$0,RENT,"$3,333 / month",16.20%,1 year ,728xx,N/a,N/a,N/a,double backer ,N/a,675-679,0,04/2010,$0.00,9,4,9,15,"$4,128.00",0,38.90%,n/a,3
40107444,"$6,500","$6,500",14.99%,1.00%,"February 3, 2015","February 13, 2018","February 13, 2020",$0,MORTGAGE,"$3,333 / month",30.51%,3 years ,028xx,N/a,N/a,N/a,"Sr. Assistant, HRSS-Leave of Absence",N/a,660-664,0,12/1995,$0.00,18,0,26,40,"$11,786.00",1,47.30%,77,0
40107508,"$16,000","$16,000",14.31%,1.00%,"February 2, 2015","February 11, 2020","February 11, 2020",$0,MORTGAGE,"$4,333 / month",13.39%,10+ years ,280xx,N/a,N/a,N/a,Generator / HVAC Technician,N/a,695-699,0,02/2001,$0.00,5,0,12,n/a,"$7,779.00",0,96.00%,n/a,0
40107509,"$18,000","$18,000",24.50%,1.00%,"January 28, 2015","February 7, 2020","February 7, 2020",$0,MORTGAGE,"$4,167 / month",35.93%,7 years ,293xx,N/a,N/a,N/a,Asm,N/a,700-704,0,08/2001,$0.00,9,0,18,n/a,"$16,950.00",0,54.90%,n/a,0
40107512,"$5,250","$5,250",12.39%,1.00%,"February 3, 2015","February 10, 2018","February 10, 2020",$0,OWN,"$2,000 / month",34.60%,5 years ,388xx,N/a,N/a,N/a,Counselor,N/a,675-679,0,06/2008,$0.00,14,1,22,23,"$3,208.00",0,45.20%,n/a,1
40107552,"$10,950","$10,950",15.59%,1.00%,"January 28, 2015","February 7, 2018","February 7, 2020",$0,RENT,"$3,333 / month",15.27%,< 1 year ,180xx,N/a,N/a,N/a,Office Manager,N/a,665-669,0,09/2005,$0.00,11,0,17,60,"$9,012.00",1,48.20%,118,2
40107668,"$35,000","$35,000",12.99%,1.00%,"January 30, 2015","February 7, 2020","February 7, 2020",$0,MORTGAGE,"$15,833 / month",16.12%,7 years ,294xx,N/a,N/a,N/a,Director,N/a,665-669,0,03/2001,$0.00,23,0,38,n/a,"$48,654.00",0,64.00%,n/a,0
40107723,"$25,000","$25,000",7.49%,1.00%,"January 29, 2015","February 8, 2018","February 8, 2020",$0,MORTGAGE,"$8,917 / month",11.50%,9 years ,076xx,N/a,N/a,N/a,Senior Acountant,N/a,735-739,0,05/2000,$0.00,11,0,17,n/a,"$14,722.00",0,54.50%,n/a,0
40107727,"$27,000","$27,000",8.19%,1.00%,"January 30, 2015","February 8, 2018","February 8, 2020",$0,MORTGAGE,"$7,500 / month",24.33%,10+ years ,306xx,N/a,N/a,N/a,Owner / President,N/a,715-719,0,01/1995,$0.00,14,0,25,n/a,"$38,195.00",0,50.60%,n/a,0
40107732,"$30,000","$30,000",19.24%,1.00%,"January 28, 2015","February 8, 2020","February 8, 2020",$0,MORTGAGE,"$9,250 / month",20.16%,3 years ,352xx,N/a,N/a,N/a,Senior Engineer,N/a,740-744,0,10/2000,$0.00,4,0,27,n/a,"$29,615.00",0,98.70%,n/a,0
40107745,"$20,000","$20,000",15.59%,1.00%,"January 29, 2015","February 8, 2018","February 8, 2020",$0,MORTGAGE,"$4,333 / month",11.26%,10+ years ,018xx,N/a,N/a,N/a,Engineering Aide,N/a,685-689,0,05/1998,$0.00,10,4,23,18,"$5,902.00",1,33.50%,95,0
40107810,"$19,350","$19,350",19.99%,1.00%,"January 28, 2015","February 8, 2020","February 8, 2020",$0,MORTGAGE,"$6,250 / month",20.75%,10+ years ,300xx,N/a,N/a,N/a,Laser practitioner,N/a,660-664,0,02/1999,$0.00,17,0,26,n/a,"$13,995.00",0,83.30%,n/a,0
40107826,"$22,000","$22,000",8.67%,1.00%,"January 28, 2015","February 8, 2018","February 8, 2020",$0,RENT,"$5,833 / month",32.18%,6 years ,760xx,N/a,N/a,N/a,TEAM LEADER,N/a,670-674,0,07/1998,$0.00,4,0,25,27,"$16,248.00",0,90.30%,n/a,0
40107853,"$20,400","$20,400",12.39%,1.00%,"February 2, 2015","February 12, 2020","February 12, 2020",$0,MORTGAGE,"$6,833 / month",13.86%,6 years ,827xx,N/a,N/a,N/a,Field Maitenance,N/a,695-699,0,01/1996,$0.00,6,0,17,n/a,"$20,193.00",0,90.10%,n/a,1
40107866,"$3,500","$3,500",15.59%,1.00%,"January 29, 2015","February 8, 2018","February 8, 2020",$0,MORTGAGE,"$62,500 / month",1.96%,3 years ,953xx,N/a,N/a,N/a,Owner,N/a,660-664,0,07/2001,$0.00,11,3,19,3,"$9,518.00",1,67.00%,106,3
40107985,"$8,000","$8,000",12.39%,1.00%,"January 27, 2015","February 9, 2018","February 9, 2020",$0,RENT,"$2,500 / month",17.44%,5 years ,546xx,N/a,N/a,N/a,Supervisor,N/a,695-699,0,07/2010,$0.00,6,0,8,n/a,"$7,549.00",0,58.50%,n/a,1
40108004,"$15,000","$15,000",11.99%,1.00%,"January 29, 2015","February 10, 2018","February 10, 2020",$0,RENT,"$3,417 / month",30.80%,2 years ,191xx,N/a,N/a,N/a,Emergency Vet Tech,N/a,710-714,0,09/2003,$0.00,7,0,16,27,"$9,299.00",0,40.10%,n/a,0
40108045,"$19,000","$19,000",7.49%,1.00%,"February 3, 2015","February 13, 2018","February 13, 2020",$0,MORTGAGE,"$10,000 / month",8.27%,10+ years ,787xx,N/a,N/a,N/a,Program Manager,N/a,735-739,1,02/1981,$191.00,12,3,39,1,"$22,040.00",0,24.20%,n/a,0
40108067,"$5,000","$5,000",15.99%,1.00%,"January 28, 2015","February 9, 2018","February 9, 2020",$0,RENT,"$4,583 / month",9.23%,< 1 year ,983xx,N/a,N/a,N/a,Direct sales representatives ,N/a,660-664,0,10/2006,$0.00,8,0,9,43,"$14,118.00",0,55.40%,n/a,2
40108115,"$4,875","$4,875",19.99%,1.00%,"January 29, 2015","February 9, 2018","February 9, 2020",$0,MORTGAGE,"$1,333 / month",13.43%,3 years ,598xx,N/a,N/a,N/a,processor,N/a,660-664,0,09/2003,$0.00,7,0,17,37,"$5,681.00",0,97.90%,n/a,0
40108130,"$20,000","$20,000",11.99%,1.00%,"January 28, 2015","February 9, 2018","February 9, 2020",$0,MORTGAGE,"$13,333 / month",11.99%,10+ years ,208xx,N/a,N/a,N/a,Administrator,N/a,685-689,0,10/1989,$0.00,5,2,24,14,"$1,398.00",0,77.70%,n/a,0
40108174,"$6,000","$6,000",14.31%,1.00%,"February 2, 2015","February 9, 2018","February 9, 2020",$0,RENT,"$5,833 / month",4.71%,10+ years ,917xx,N/a,N/a,N/a,ORDER SELECTOR,N/a,665-669,0,12/1998,$0.00,9,0,26,77,"$6,453.00",1,60.00%,60,3
40108199,"$24,000","$24,000",8.67%,1.00%,"February 3, 2015","February 9, 2020","February 9, 2020",$0,MORTGAGE,"$5,417 / month",16.38%,10+ years ,703xx,N/a,N/a,N/a,OWNER,N/a,680-684,0,11/1980,$0.00,10,2,20,5,"$11,328.00",0,53.70%,n/a,0
40108235,"$3,250","$3,250",17.86%,1.00%,"February 3, 2015","February 9, 2018","February 9, 2020",$0,RENT,$753 / month,18.33%,n/a,991xx,N/a,N/a,N/a,n/a,N/a,680-684,0,11/2002,$0.00,4,0,6,n/a,"$3,077.00",0,60.30%,n/a,0
40117118,"$8,000","$8,000",8.19%,1.00%,"January 30, 2015","February 6, 2018","February 6, 2020",$0,MORTGAGE,"$7,667 / month",14.32%,10+ years ,105xx,N/a,N/a,N/a,asst. accountant,N/a,710-714,0,04/1989,$0.00,21,0,47,n/a,"$30,692.00",0,40.20%,n/a,2
40117176,"$2,500","$2,500",14.31%,1.00%,"January 29, 2015","February 9, 2018","February 9, 2020",$0,RENT,"$3,167 / month",39.67%,6 years ,335xx,N/a,N/a,N/a,Office manger,N/a,670-674,0,11/1996,$0.00,8,0,20,42,"$4,590.00",0,40.60%,n/a,0
40117227,"$16,000","$16,000",12.39%,1.00%,"January 30, 2015","February 7, 2018","February 7, 2020",$0,MORTGAGE,"$4,167 / month",25.72%,2 years ,902xx,N/a,N/a,N/a,Die maintenance 2,N/a,690-694,0,12/2009,$0.00,8,0,8,n/a,"$6,938.00",0,69.40%,n/a,0
40117232,"$18,000","$18,000",11.99%,1.00%,"January 28, 2015","February 6, 2018","February 6, 2020",$0,RENT,"$12,000 / month",10.28%,5 years ,335xx,N/a,N/a,N/a,sales,N/a,675-679,0,06/2003,$0.00,9,0,23,28,"$7,752.00",0,54.60%,n/a,1
40117235,"$10,000","$10,000",13.66%,1.00%,"January 29, 2015","February 6, 2020","February 6, 2020",$0,MORTGAGE,"$5,228 / month",9.12%,10+ years ,978xx,N/a,N/a,N/a,Antiterrorism Officer,N/a,700-704,0,01/2000,$0.00,5,0,12,n/a,"$18,718.00",0,94.50%,n/a,1
40117324,"$17,000","$17,000",6.03%,1.00%,"January 27, 2015","February 9, 2018","February 9, 2020",$0,MORTGAGE,"$10,250 / month",16.24%,7 years ,201xx,N/a,N/a,N/a,QA Manager,N/a,765-769,0,06/2001,$0.00,17,0,27,n/a,"$16,128.00",0,21.00%,n/a,0
40117336,"$30,000","$30,000",17.86%,1.00%,"January 30, 2015","February 10, 2020","February 10, 2020",$0,MORTGAGE,"$32,083 / month",27.11%,< 1 year ,064xx,N/a,N/a,N/a,SVP & CFO - Markets,N/a,675-679,0,04/1990,$0.00,23,0,32,n/a,"$61,508.00",0,93.10%,n/a,3
40117401,"$25,000","$25,000",18.54%,1.00%,"January 28, 2015","February 7, 2020","February 7, 2020",$0,MORTGAGE,"$4,583 / month",34.24%,8 years ,731xx,N/a,N/a,N/a,Sales Associate,N/a,685-689,0,10/1994,$0.00,13,0,49,77,"$24,911.00",0,73.30%,n/a,0
40117506,"$8,700","$8,700",17.14%,1.00%,"January 30, 2015","February 7, 2018","February 7, 2020",$0,MORTGAGE,"$3,048 / month",10.96%,10+ years ,467xx,N/a,N/a,N/a,fork truck operator,N/a,690-694,0,06/2001,$0.00,5,0,10,39,"$3,533.00",1,57.00%,45,1
40117555,"$22,000","$22,000",19.99%,1.00%,"February 2, 2015","February 7, 2020","February 7, 2020",$0,MORTGAGE,"$5,000 / month",21.02%,9 years ,625xx,N/a,N/a,N/a,carrier,N/a,705-709,0,09/2003,$0.00,13,0,43,n/a,"$15,840.00",0,41.90%,n/a,1
40117690,"$18,000","$18,000",12.99%,1.00%,"January 28, 2015","February 8, 2018","February 8, 2020",$0,MORTGAGE,"$6,167 / month",19.64%,10+ years ,310xx,N/a,N/a,N/a,Program Manager,N/a,675-679,0,09/2005,$0.00,8,0,21,25,"$15,055.00",0,96.50%,n/a,1
40117702,"$25,000","$25,000",15.99%,1.00%,"January 28, 2015","February 8, 2020","February 8, 2020",$0,MORTGAGE,"$5,417 / month",10.82%,5 years ,480xx,N/a,N/a,N/a,Machine Operator,N/a,665-669,0,07/2004,$0.00,10,0,15,n/a,"$17,618.00",1,74.30%,105,0
40117727,"$23,250","$23,250",17.14%,1.00%,"January 27, 2015","February 8, 2020","February 8, 2020",$0,MORTGAGE,"$3,883 / month",33.04%,< 1 year ,775xx,N/a,N/a,N/a,Teacher,N/a,710-714,0,11/2001,$0.00,7,0,24,n/a,"$12,791.00",0,63.00%,n/a,0
40117769,"$24,800","$24,800",15.99%,1.00%,"January 30, 2015","February 8, 2018","February 8, 2020",$0,MORTGAGE,"$5,250 / month",36.44%,< 1 year ,750xx,N/a,N/a,N/a,Market Coach,N/a,705-709,0,09/1986,$0.00,17,0,21,n/a,"$45,083.00",0,89.30%,n/a,0
40117778,"$35,000","$35,000",7.49%,1.00%,"January 29, 2015","February 8, 2018","February 8, 2020",$0,MORTGAGE,"$27,083 / month",21.38%,10+ years ,280xx,N/a,N/a,N/a,Principal,N/a,725-729,0,02/1984,$0.00,18,0,31,n/a,"$68,231.00",0,56.30%,n/a,1
40117818,"$12,000","$12,000",12.39%,1.00%,"January 30, 2015","February 8, 2018","February 8, 2020",$0,RENT,"$3,250 / month",28.77%,2 years ,752xx,N/a,N/a,N/a,Health Information Management Tech,N/a,665-669,0,09/2005,$0.00,18,0,36,n/a,"$14,362.00",0,74.40%,n/a,1
40117830,"$18,000","$18,000",9.49%,1.00%,"January 27, 2015","February 8, 2018","February 8, 2020",$0,RENT,"$6,250 / month",18.74%,8 years ,347xx,N/a,N/a,N/a,RN,N/a,675-679,0,03/2001,$0.00,8,0,19,36,"$16,366.00",0,83.10%,n/a,0
40117841,"$15,000","$15,000",10.49%,1.00%,"January 28, 2015","February 8, 2018","February 8, 2020",$0,MORTGAGE,"$11,250 / month",9.50%,8 years ,952xx,N/a,N/a,N/a,registered nurse,N/a,660-664,0,01/1994,$0.00,10,0,32,n/a,"$11,319.00",1,48.80%,64,1
40117878,"$6,000","$6,000",12.99%,1.00%,"January 28, 2015","February 8, 2018","February 8, 2020",$0,RENT,"$1,625 / month",13.48%,5 years ,193xx,N/a,N/a,N/a,Optician,N/a,665-669,0,11/2007,$0.00,9,1,12,9,"$4,560.00",0,34.80%,n/a,2
40117886,"$10,000","$10,000",11.99%,1.00%,"January 28, 2015","February 8, 2018","February 8, 2020",$0,MORTGAGE,"$3,333 / month",3.96%,3 years ,330xx,N/a,N/a,N/a,Family Councelor,N/a,660-664,0,04/2010,$0.00,6,0,13,n/a,"$2,701.00",0,45.00%,n/a,0
40117896,"$9,300","$9,300",11.99%,1.00%,"January 29, 2015","February 8, 2018","February 8, 2020",$0,RENT,"$3,750 / month",32.67%,5 years ,076xx,N/a,N/a,N/a,Pastor,N/a,680-684,0,06/2002,$0.00,11,0,30,43,"$9,223.00",1,59.90%,116,0
40117898,"$16,150","$16,150",17.14%,1.00%,"February 2, 2015","February 11, 2020","February 11, 2020",$0,RENT,"$6,667 / month",16.28%,8 years ,186xx,N/a,N/a,N/a,manager surgery ,N/a,665-669,0,03/2001,$0.00,7,5,15,6,"$8,254.00",1,72.40%,96,1
40117910,"$12,400","$12,400",25.57%,1.00%,"January 29, 2015","February 9, 2020","February 9, 2020",$0,RENT,"$3,500 / month",11.37%,< 1 year ,852xx,N/a,N/a,N/a,Paint prepper,N/a,700-704,0,09/2010,$0.00,12,0,16,n/a,"$4,167.00",0,38.90%,n/a,0
40117932,"$21,600","$21,600",8.67%,1.00%,"January 30, 2015","February 8, 2018","February 8, 2020",$0,MORTGAGE,"$8,833 / month",3.36%,7 years ,949xx,N/a,N/a,N/a,"AVP, Loan Underwriter",N/a,675-679,0,11/1999,$0.00,8,1,20,13,"$9,802.00",0,94.20%,n/a,0
40117943,"$7,150","$7,150",17.14%,1.00%,"January 28, 2015","February 8, 2018","February 8, 2020",$0,RENT,"$2,083 / month",21.56%,< 1 year ,666xx,N/a,N/a,N/a,Marketing Administration,N/a,675-679,0,09/2010,$0.00,11,0,15,n/a,"$6,540.00",0,55.90%,n/a,0
40117997,"$35,000","$35,000",15.99%,1.00%,"February 2, 2015","February 9, 2020","February 9, 2020",$0,MORTGAGE,"$7,500 / month",27.32%,2 years ,493xx,N/a,N/a,N/a,RN,N/a,730-734,0,08/1996,$0.00,22,0,53,73,"$7,235.00",0,35.60%,n/a,0
40118086,"$15,000","$15,000",19.99%,1.00%,"January 29, 2015","February 9, 2020","February 9, 2020",$0,RENT,"$3,333 / month",27.33%,7 years ,071xx,N/a,N/a,N/a,Manager,N/a,670-674,0,09/2004,$0.00,11,0,19,26,"$6,406.00",0,61.00%,n/a,2
40118173,"$23,800","$23,800",15.59%,1.00%,"January 30, 2015","February 10, 2020","February 10, 2020",$0,MORTGAGE,"$7,667 / month",12.59%,7 years ,880xx,N/a,N/a,N/a,Mechanical Engineer,N/a,695-699,0,01/1998,$0.00,12,1,45,12,"$16,697.00",0,90.70%,n/a,0
40118178,"$21,400","$21,400",18.54%,1.00%,"January 28, 2015","February 9, 2020","February 9, 2020",$0,RENT,"$3,583 / month",39.60%,8 years ,173xx,N/a,N/a,N/a,Caseworker !!,N/a,715-719,0,05/2003,$0.00,21,0,38,n/a,"$27,949.00",0,58.00%,n/a,1
40118182,"$10,000","$10,000",14.31%,1.00%,"January 28, 2015","February 9, 2018","February 9, 2020",$0,RENT,"$3,583 / month",23.22%,10+ years ,483xx,N/a,N/a,N/a,Manager,N/a,685-689,0,11/1998,$0.00,12,0,19,n/a,"$16,572.00",0,53.30%,n/a,0
40118267,"$6,075","$6,075",11.99%,1.00%,"January 30, 2015","February 10, 2018","February 10, 2020",$0,MORTGAGE,"$2,500 / month",29.16%,10+ years ,712xx,N/a,N/a,N/a,Accounting Specialist,N/a,730-734,0,05/2001,$0.00,33,0,42,n/a,"$5,032.00",0,17.00%,n/a,1
40118269,"$16,350","$16,350",21.99%,1.00%,"January 28, 2015","February 9, 2020","February 9, 2020",$0,MORTGAGE,"$8,333 / month",26.43%,1 year ,786xx,N/a,N/a,N/a,director,N/a,680-684,0,12/2005,$0.00,9,2,26,9,"$3,098.00",1,30.10%,113,1
40118284,"$3,000","$3,000",14.99%,1.00%,"February 3, 2015","February 9, 2018","February 9, 2020",$0,MORTGAGE,"$1,667 / month",17.53%,n/a,782xx,N/a,N/a,N/a,n/a,N/a,725-729,0,01/2003,$0.00,8,0,25,25,"$5,015.00",0,29.00%,n/a,1
40118305,"$9,000","$9,000",11.44%,1.00%,"February 3, 2015","February 9, 2018","February 9, 2020",$0,RENT,"$6,750 / month",8.07%,7 years ,950xx,N/a,N/a,N/a,Senior Director,N/a,710-714,0,02/2005,$0.00,12,0,22,52,"$1,848.00",0,17.90%,n/a,1
40118318,"$10,000","$10,000",14.99%,1.00%,"January 28, 2015","February 9, 2018","February 9, 2020",$0,RENT,"$4,167 / month",9.46%,2 years ,171xx,N/a,N/a,N/a,Statistical Analyst,N/a,665-669,0,01/2009,$0.00,8,0,11,n/a,"$8,586.00",0,84.20%,n/a,1
40118326,"$11,300","$11,300",17.14%,1.00%,"January 30, 2015","February 9, 2018","February 9, 2020",$0,RENT,"$3,833 / month",25.70%,4 years ,335xx,N/a,N/a,N/a,Executive Chef,N/a,665-669,0,10/1992,$0.00,12,0,14,34,"$5,917.00",0,61.60%,n/a,0
40127167,"$3,000","$3,000",14.99%,1.00%,"January 28, 2015","February 6, 2018","February 6, 2020",$0,RENT,"$1,500 / month",7.47%,3 years ,554xx,N/a,N/a,N/a,Nail tech,N/a,665-669,0,03/2011,$0.00,5,0,8,26,"$3,567.00",0,42.00%,n/a,1
40127228,"$6,000","$6,000",14.31%,1.00%,"January 28, 2015","February 6, 2018","February 6, 2020",$0,OWN,"$5,000 / month",19.70%,10+ years ,365xx,N/a,N/a,N/a,R&D Tech,N/a,690-694,0,06/2001,$0.00,11,0,30,33,"$3,497.00",0,14.10%,n/a,0
40127290,"$25,000","$25,000",17.14%,1.00%,"January 29, 2015","February 6, 2020","February 6, 2020",$0,MORTGAGE,"$4,500 / month",17.71%,7 years ,330xx,N/a,N/a,N/a,GENERAL MANAGER,N/a,680-684,0,09/2008,$0.00,16,0,20,n/a,"$23,728.00",0,38.20%,n/a,2
