Series of Member Payment Dependent Notes,Maximum aggregate principal amount of Notes offered,Aggregate principal amount of Notes sold,Stated interest rate,Service Charge,Sale and Original Issue Date,Initial maturity,Final maturity,Amount of corresponding loan funded by Lending Club,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months
40501014,"$12,000","$12,000",6.49%,1.00%,"February 2, 2015","February 11, 2018","February 11, 2020",$0,RENT,"$4,601 / month",22.59%,7 years ,799xx,N/a,N/a,N/a,Client Account Exec,N/a,690-694,0,07/1986,$0.00,18,0,32,43,"$6,369.00",0,12.40%,n/a,0
40501152,"$4,600","$4,600",8.19%,1.00%,"January 30, 2015","February 11, 2018","February 11, 2020",$0,RENT,"$8,000 / month",6.64%,6 years ,769xx,N/a,N/a,N/a,Wind Tech.,N/a,710-714,0,07/1993,$0.00,8,0,29,49,"$4,777.00",0,36.70%,n/a,1
40501275,"$12,825","$12,825",12.39%,1.00%,"January 30, 2015","February 11, 2018","February 11, 2020",$0,MORTGAGE,"$8,558 / month",14.13%,10+ years ,762xx,N/a,N/a,N/a,Lead RSE,N/a,685-689,0,11/2001,$0.00,7,0,10,n/a,"$5,516.00",0,83.60%,n/a,1
40501281,"$27,125","$27,125",25.57%,1.00%,"February 2, 2015","February 11, 2020","February 11, 2020",$0,MORTGAGE,"$6,833 / month",15.81%,10+ years ,104xx,N/a,N/a,N/a,Systems admin,N/a,705-709,0,10/2002,$0.00,10,0,20,n/a,"$20,626.00",0,82.20%,n/a,0
40501283,"$8,000","$8,000",16.49%,1.00%,"February 2, 2015","February 11, 2018","February 11, 2020",$0,MORTGAGE,"$2,833 / month",39.18%,4 years ,117xx,N/a,N/a,N/a,physician,N/a,740-744,0,08/1991,$0.00,9,0,11,n/a,"$32,201.00",0,77.20%,n/a,0
40501311,"$14,225","$14,225",17.86%,1.00%,"February 2, 2015","February 11, 2018","February 11, 2020",$0,RENT,"$3,500 / month",24.85%,10+ years ,170xx,N/a,N/a,N/a,Sales Associate,N/a,665-669,0,03/2001,$0.00,15,0,27,n/a,"$16,974.00",0,55.10%,n/a,1
40501320,"$35,000","$35,000",21.99%,1.00%,"February 3, 2015","February 12, 2020","February 12, 2020",$0,MORTGAGE,"$8,750 / month",32.59%,< 1 year ,776xx,N/a,N/a,N/a,Nurse Practitioner,N/a,670-674,0,09/1994,$0.00,25,0,55,29,"$24,793.00",0,79.00%,n/a,0
40501347,"$15,000","$15,000",14.99%,1.00%,"February 2, 2015","February 11, 2018","February 11, 2020",$0,MORTGAGE,"$3,917 / month",25.54%,8 years ,440xx,N/a,N/a,N/a,nurse,N/a,705-709,0,12/1992,$0.00,13,5,35,13,"$3,896.00",2,31.90%,36,0
40501417,"$21,000","$21,000",20.99%,1.00%,"February 2, 2015","February 11, 2020","February 11, 2020",$0,MORTGAGE,"$10,000 / month",11.68%,10+ years ,770xx,N/a,N/a,N/a,Head lineman,N/a,700-704,0,12/1995,$0.00,10,1,13,23,"$6,672.00",3,48.00%,14,0
40501440,"$3,500","$3,500",12.99%,1.00%,"February 2, 2015","February 11, 2018","February 11, 2020",$0,MORTGAGE,"$4,167 / month",8.23%,2 years ,531xx,N/a,N/a,N/a,Relationship Banker,N/a,665-669,0,02/2003,$0.00,11,0,20,31,"$9,735.00",1,55.90%,24,1
40501520,"$18,000","$18,000",18.54%,1.00%,"February 2, 2015","February 12, 2020","February 12, 2020",$0,RENT,"$5,167 / month",12.12%,10+ years ,952xx,N/a,N/a,N/a,Auto Technician,N/a,680-684,0,01/2000,$0.00,10,0,35,n/a,"$1,372.00",1,7.50%,56,0
40501571,"$15,000","$15,000",8.19%,1.00%,"February 2, 2015","February 12, 2018","February 12, 2020",$0,RENT,"$3,750 / month",7.76%,6 years ,606xx,N/a,N/a,N/a,Kids Ministry Director,N/a,670-674,0,08/1996,$0.00,11,0,40,63,"$6,680.00",1,60.20%,60,1
40501586,"$7,800","$7,800",9.49%,1.00%,"February 2, 2015","February 12, 2018","February 12, 2020",$0,MORTGAGE,"$5,833 / month",10.29%,9 years ,786xx,N/a,N/a,N/a,Sales Rep,N/a,690-694,0,04/2004,$0.00,6,0,14,66,"$8,399.00",0,68.80%,n/a,0
40501683,"$5,600","$5,600",11.44%,1.00%,"February 3, 2015","February 12, 2018","February 12, 2020",$0,RENT,"$5,833 / month",10.73%,< 1 year ,200xx,N/a,N/a,N/a,Consultant,N/a,710-714,0,08/1991,$0.00,9,0,9,n/a,"$11,475.00",0,61.40%,n/a,0
40501833,"$10,000","$10,000",6.99%,1.00%,"February 2, 2015","February 12, 2018","February 12, 2020",$0,RENT,"$5,417 / month",11.00%,6 years ,863xx,N/a,N/a,N/a,SYSTEM ANALYST,N/a,660-664,0,06/1986,$0.00,3,0,7,n/a,"$11,469.00",1,94.80%,23,1
40501847,"$10,000","$10,000",18.54%,1.00%,"February 2, 2015","February 12, 2020","February 12, 2020",$0,RENT,"$4,333 / month",14.03%,5 years ,352xx,N/a,N/a,N/a,Assistant Golf Professional,N/a,700-704,0,01/2007,$0.00,4,0,5,n/a,"$3,777.00",0,89.90%,n/a,1
40501860,"$6,550","$6,550",18.54%,1.00%,"February 3, 2015","February 12, 2018","February 12, 2020",$0,RENT,"$4,417 / month",13.36%,10+ years ,027xx,N/a,N/a,N/a,Union carpenter,N/a,665-669,0,03/2004,$0.00,4,1,15,n/a,"$2,634.00",1,59.00%,66,1
40501863,"$5,000","$5,000",8.19%,1.00%,"February 2, 2015","February 13, 2018","February 13, 2020",$0,MORTGAGE,"$3,667 / month",17.59%,10+ years ,212xx,N/a,N/a,N/a,ASST MGR,N/a,660-664,0,01/1990,$0.00,8,1,12,14,"$10,070.00",0,83.90%,n/a,0
40501885,"$28,000","$28,000",8.19%,1.00%,"February 2, 2015","February 12, 2018","February 12, 2020",$0,MORTGAGE,"$9,167 / month",19.42%,2 years ,782xx,N/a,N/a,N/a,Director of Technology,N/a,715-719,0,08/2001,$0.00,14,0,37,n/a,"$30,850.00",0,57.80%,n/a,0
40501888,"$11,950","$11,950",15.99%,1.00%,"February 3, 2015","February 12, 2018","February 12, 2020",$0,MORTGAGE,"$12,500 / month",9.48%,10+ years ,300xx,N/a,N/a,N/a,"Manager, Procurement",N/a,660-664,0,12/2001,$0.00,10,0,21,24,"$6,454.00",0,81.70%,n/a,4
40501895,"$12,000","$12,000",15.99%,1.00%,"February 2, 2015","February 12, 2020","February 12, 2020",$0,RENT,"$3,583 / month",35.64%,2 years ,333xx,N/a,N/a,N/a,Resident physician,N/a,665-669,0,01/2005,$0.00,19,0,45,n/a,"$17,720.00",0,92.30%,n/a,0
40501901,"$14,625","$14,625",12.99%,1.00%,"February 3, 2015","February 12, 2018","February 12, 2020",$0,RENT,"$6,917 / month",13.01%,8 years ,341xx,N/a,N/a,N/a,Mechanic,N/a,675-679,0,09/2000,$0.00,13,1,32,23,"$10,952.00",1,61.90%,15,0
40501916,"$10,000","$10,000",10.49%,1.00%,"February 3, 2015","February 12, 2018","February 12, 2020",$0,OWN,"$17,750 / month",4.10%,10+ years ,229xx,N/a,N/a,N/a,Regional Site Manager,N/a,710-714,0,08/1989,$0.00,12,0,32,50,"$30,073.00",2,54.00%,49,1
40502188,"$35,000","$35,000",14.31%,1.00%,"February 3, 2015","February 13, 2020","February 13, 2020",$0,MORTGAGE,"$16,667 / month",13.51%,10+ years ,331xx,N/a,N/a,N/a,CEO,N/a,680-684,0,09/1994,$0.00,10,0,33,31,"$5,721.00",0,56.10%,n/a,2
40502206,"$21,050","$21,050",22.99%,1.00%,"February 3, 2015","February 13, 2020","February 13, 2020",$0,MORTGAGE,"$5,500 / month",15.04%,10+ years ,283xx,N/a,N/a,N/a,mlt 1,N/a,660-664,0,11/1998,$0.00,9,1,21,16,"$19,439.00",0,67.10%,n/a,1
40502249,"$6,400","$6,400",9.49%,1.00%,"February 3, 2015","February 13, 2018","February 13, 2020",$0,MORTGAGE,"$4,941 / month",25.08%,10+ years ,462xx,N/a,N/a,N/a,Carrier,N/a,665-669,0,07/2001,$0.00,6,0,19,81,"$6,237.00",2,37.80%,50,0
40502282,"$18,200","$18,200",19.24%,1.00%,"February 3, 2015","February 13, 2020","February 13, 2020",$0,MORTGAGE,"$3,798 / month",21.36%,8 years ,275xx,N/a,N/a,N/a,Team Leader,N/a,670-674,0,09/2003,$0.00,8,0,16,n/a,"$18,632.00",0,84.30%,n/a,0
40502573,"$9,825","$9,825",15.99%,1.00%,"February 3, 2015","February 16, 2018","February 16, 2020",$0,RENT,"$3,333 / month",17.85%,< 1 year ,430xx,N/a,N/a,N/a,Contract Attorney,N/a,660-664,0,02/2000,$0.00,8,5,22,9,"$5,857.00",0,81.30%,n/a,1
40502759,"$7,000","$7,000",9.49%,1.00%,"February 3, 2015","February 14, 2018","February 14, 2020",$0,RENT,"$3,750 / month",8.37%,10+ years ,458xx,N/a,N/a,N/a,spring set-up,N/a,665-669,0,12/2005,$0.00,8,0,12,n/a,"$4,644.00",1,32.50%,111,3
40502950,"$7,000","$7,000",15.59%,1.00%,"February 3, 2015","February 15, 2018","February 15, 2020",$0,RENT,"$6,500 / month",6.86%,3 years ,122xx,N/a,N/a,N/a,Office Manager,N/a,670-674,0,07/2006,$0.00,8,0,13,45,"$6,601.00",0,45.50%,n/a,2
40510112,"$6,600","$6,600",8.67%,1.00%,"January 28, 2015","February 9, 2018","February 9, 2020",$0,RENT,"$4,042 / month",18.78%,2 years ,021xx,N/a,N/a,N/a,Senior Associate,N/a,705-709,0,10/2003,$0.00,12,0,23,n/a,"$10,501.00",0,93.80%,n/a,0
40510121,"$21,200","$21,200",22.99%,1.00%,"January 28, 2015","February 9, 2020","February 9, 2020",$0,RENT,"$4,919 / month",7.67%,10+ years ,122xx,N/a,N/a,N/a,Dental Assistant/PR,N/a,765-769,0,12/1990,$0.00,4,1,18,9,"$8,751.00",0,54.70%,n/a,1
40510126,"$15,075","$15,075",19.24%,1.00%,"February 2, 2015","February 9, 2018","February 9, 2020",$0,OWN,"$3,958 / month",19.48%,2 years ,132xx,N/a,N/a,N/a,Supervisor,N/a,730-734,0,02/1989,$0.00,17,0,25,43,"$4,450.00",0,13.20%,n/a,1
40510192,"$10,000","$10,000",15.59%,1.00%,"January 28, 2015","February 10, 2018","February 10, 2020",$0,OWN,"$5,833 / month",8.45%,3 years ,802xx,N/a,N/a,N/a,Physical therapist assistant,N/a,665-669,0,04/1993,$0.00,10,0,24,n/a,"$8,891.00",0,66.00%,n/a,2
