Date,Series of Member Payment Dependent Notes,Maximum aggregate principal amount offered,Stated interest rate,Service Charge,Initial maturity,Final maturity,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months,Months Since Last Major Derogatory
"January 7, 2015",38732184,"$11,750",6.03%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$8,750 / month",9.69%,7 years ,794xx,N/a,N/a,N/a,Manager,N/a,710-714,0,04/2001,$0.00,6,0,14,n/a,"$7,089.00",1,72.30%,109,0,n/a
"January 7, 2015",38732187,"$2,200",6.49%,1.00%,Three years after issuance,Five years after issuance,OWN,"$4,333 / month",3.39%,7 years ,840xx,N/a,N/a,N/a,Quilter,N/a,780-784,0,04/1987,$0.00,11,0,27,27,"$7,267.00",0,6.20%,n/a,0,n/a
"January 7, 2015",38742136,"$17,125",21.99%,1.00%,Five years after issuance,Five years after issuance,MORTGAGE,"$3,255 / month",27.53%,7 years ,551xx,N/a,N/a,N/a,Lead General Maintenance Worker,N/a,660-664,0,11/2005,$0.00,8,0,31,n/a,"$22,798.00",0,93.80%,n/a,1,n/a
"January 7, 2015",38752116,"$8,000",18.54%,1.00%,Three years after issuance,Five years after issuance,RENT,"$1,667 / month",33.97%,2 years ,721xx,N/a,N/a,N/a,porter,N/a,680-684,0,03/1993,$0.00,14,0,17,n/a,"$16,738.00",0,65.10%,n/a,0,n/a
"January 7, 2015",38752120,"$16,000",8.19%,1.00%,Three years after issuance,Five years after issuance,RENT,"$4,583 / month",32.13%,6 years ,113xx,N/a,N/a,N/a,general manager,N/a,675-679,0,11/2004,$0.00,8,2,12,12,"$28,715.00",1,70.70%,20,0,n/a
"January 7, 2015",38752148,"$8,400",9.49%,1.00%,Three years after issuance,Five years after issuance,RENT,"$6,250 / month",20.27%,1 year ,890xx,N/a,N/a,N/a,Claims Manager ,N/a,665-669,0,04/2003,$0.00,11,0,23,n/a,"$9,106.00",1,78.50%,98,0,n/a
"January 7, 2015",38762145,"$8,875",17.14%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$4,000 / month",30.65%,4 years ,180xx,N/a,N/a,N/a,Table games dealer,N/a,680-684,0,09/2002,$0.00,20,0,33,71,"$12,466.00",0,44.20%,n/a,2,71
"January 7, 2015",38772114,"$25,000",8.19%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$8,376 / month",8.54%,10+ years ,109xx,N/a,N/a,N/a,Bus operator,N/a,705-709,0,06/1992,$0.00,11,2,32,5,"$15,910.00",0,53.40%,n/a,1,67
"January 7, 2015",38772115,"$4,675",14.31%,1.00%,Three years after issuance,Five years after issuance,OWN,"$1,750 / month",5.09%,2 years ,573xx,N/a,N/a,N/a,Park attendent,N/a,670-674,0,11/1988,$0.00,3,0,18,73,"$2,933.00",0,58.70%,n/a,1,n/a
"January 7, 2015",38772119,"$15,000",8.67%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$8,333 / month",16.15%,10+ years ,891xx,N/a,N/a,N/a,Assistant Director of Operations,N/a,690-694,0,07/2000,$0.00,18,0,40,42,"$24,471.00",0,89.60%,n/a,1,n/a
