Series of Member Payment Dependent Notes,Maximum aggregate principal amount of Notes offered,Aggregate principal amount of Notes sold,Stated interest rate,Service Charge,Sale and Original Issue Date,Initial maturity,Final maturity,Amount of corresponding loan funded by Lending Club,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months
442368,"$15,000","$15,000",11.48%,1.00%,"September 23, 2009","September 28, 2012","September 28, 2013",$0,OWN,"$3,333 / month",10.32%,2 years ,"LEVITTOWN, NY",__,__,__,N/a,__,714-749,0,07/1991,$0.00,10,0,14,n/a,"$14,274.00",0,24.60%,n/a,0
442381,"$20,000","$20,000",14.26%,1.00%,"September 28, 2009","September 28, 2012","September 28, 2013",$0,MORTGAGE,"$5,833 / month",13.68%,2 years ,"The Woodlands, TX",__,__,__,N/a,__,679-713,0,05/1996,$0.00,14,0,34,n/a,"$27,561.00",0,80.80%,n/a,1
442405,"$20,000","$20,000",11.83%,1.00%,"September 24, 2009","September 28, 2012","September 28, 2013",$0,MORTGAGE,"$6,667 / month",9.11%, 10 years 2 months,"ALEXANDRIA, VA",__,__,__,N/a,__,714-749,0,09/1999,$0.00,6,0,13,n/a,"$28,091.00",0,50.60%,n/a,0
442421,"$8,000","$8,000",11.48%,1.00%,"September 28, 2009","September 30, 2012","September 30, 2013",$0,RENT,"$3,000 / month",2.90%, 12 years 4 months,"BROOKLYN, NY",__,__,__,N/a,__,714-749,0,10/2004,$0.00,7,0,10,n/a,"$2,980.00",0,31.70%,n/a,1
442492,"$6,000","$6,000",12.87%,1.00%,"September 28, 2009","September 28, 2012","September 28, 2013",$0,RENT,"$4,333 / month",6.30%,3 years ,"Oxnard, CA",__,__,__,N/a,__,679-713,0,06/1981,$0.00,10,1,24,22,"$9,339.00",0,33.20%,n/a,2
442500,"$15,000","$15,000",11.48%,1.00%,"September 24, 2009","September 28, 2012","September 28, 2013",$0,MORTGAGE,"$6,250 / month",10.10%, 4 years 3 months,"BLUFFTON, SC",__,__,__,N/a,__,714-749,0,08/1994,$0.00,9,0,34,n/a,"$73,366.00",0,61.70%,n/a,1
442512,"$15,000","$15,000",16.35%,1.00%,"September 28, 2009","September 28, 2012","September 28, 2013",$0,RENT,"$5,833 / month",16.66%, 6 years 9 months,"Springfield, MA",__,__,__,N/a,__,660-678,0,01/1997,$0.00,13,0,28,58,"$29,319.00",0,61.50%,n/a,0
442661,"$17,000","$17,000",12.18%,1.00%,"September 24, 2009","September 29, 2012","September 29, 2013",$0,MORTGAGE,"$5,292 / month",15.80%, 25 years 6 months,"WINDER, GA",__,__,__,N/a,__,714-749,0,08/1992,$0.00,9,0,33,n/a,"$21,441.00",0,80.60%,n/a,1
442713,"$2,275","$2,275",16.00%,1.00%,"September 23, 2009","September 30, 2012","September 30, 2013",$0,MORTGAGE,"$8,333 / month",24.60%, 16 years 2 months,"White Plains, NY",__,__,__,N/a,__,679-713,0,08/1994,$0.00,27,0,51,n/a,"$34,070.00",0,44.50%,n/a,4
442716,"$8,000","$8,000",13.92%,1.00%,"September 28, 2009","September 29, 2012","September 29, 2013",$0,RENT,"$3,042 / month",7.33%,12 years ,"pompano, FL",__,__,__,N/a,__,714-749,0,10/1990,$0.00,9,0,17,n/a,"$49,084.00",0,98.40%,n/a,1
442767,"$11,300","$11,300",13.22%,1.00%,"September 24, 2009","September 29, 2012","September 29, 2013",$0,RENT,"$3,491 / month",19.05%,8 years ,"NARROWSBURG, NY",__,__,__,N/a,__,679-713,0,12/1995,$0.00,5,0,32,n/a,"$32,720.00",0,94.60%,n/a,1
